date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2022-11-29,4.45,3.99,450,"1992-11-22 2021-12-06",94.09,7.16,450,"1992-11-22 2021-12-06",7.54,2.9,450,"1992-11-22 2021-12-06",24.94,11.53,450,"1992-11-22 2021-12-06",0.17,4.89,450,"1992-11-22 2021-12-06",73.22,13.34,450,"1992-11-22 2021-12-06",1.83,3.95,450,"1992-11-22 2021-12-06",4,4.67,450,"1992-11-22 2021-12-06",5.59,8.74,444,"1992-11-22 2021-12-06",5.43,8.71,437,"1992-11-22 2021-12-06",0.2,1.28,438,"1992-11-22 2021-12-06",0.4,2.05,358,"1992-11-22 2021-12-06",,,,
2022-11-28,4.56,3.92,450,"1992-11-21 2021-12-05",94.09,6.67,450,"1992-11-21 2021-12-05",7.65,2.9,450,"1992-11-21 2021-12-05",25.06,11.61,450,"1992-11-21 2021-12-05",0.23,4.77,450,"1992-11-21 2021-12-05",73.07,12.83,450,"1992-11-21 2021-12-05",1.91,3.96,450,"1992-11-21 2021-12-05",3.97,4.62,450,"1992-11-21 2021-12-05",5.75,8.9,444,"1992-11-21 2021-12-05",5.58,8.86,438,"1992-11-21 2021-12-05",0.19,1.27,439,"1992-11-21 2021-12-05",0.3,2.05,357,"1992-11-21 2016-12-05",,,,
2022-11-27,4.72,3.91,450,"1992-11-20 2021-12-04",94.1,6.66,450,"1992-11-20 2021-12-04",7.78,2.96,450,"1992-11-20 2021-12-04",25.19,11.59,450,"1992-11-20 2021-12-04",0.4,4.74,450,"1992-11-20 2021-12-04",73.36,12.39,450,"1992-11-20 2021-12-04",2.07,3.98,450,"1992-11-20 2021-12-04",4.1,4.65,450,"1992-11-20 2021-12-04",5.75,8.78,445,"1992-11-20 2021-12-04",5.58,8.76,440,"1992-11-20 2021-12-04",0.21,1.3,441,"1992-11-20 2021-12-04",0.4,2.06,358,"1992-11-20 2016-12-04",,,,
2022-11-26,4.88,3.89,450,"1992-11-19 2021-12-03",94.08,6.77,450,"1992-11-19 2021-12-03",7.9,2.97,450,"1992-11-19 2021-12-03",25.38,11.33,450,"1992-11-19 2021-12-03",0.54,4.7,450,"1992-11-19 2021-12-03",73.5,12.32,450,"1992-11-19 2021-12-03",2.22,3.92,450,"1992-11-19 2021-12-03",4.22,4.75,450,"1992-11-19 2021-12-03",5.92,8.88,447,"1992-11-19 2021-12-03",5.73,8.86,443,"1992-11-19 2021-12-03",0.2,1.3,444,"1992-11-19 2021-12-03",0.3,2.04,359,"1992-11-19 2016-12-03",,,,
2022-11-25,4.99,3.86,450,"1992-11-18 2021-12-02",94.08,6.86,450,"1992-11-18 2021-12-02",8,2.97,450,"1992-11-18 2021-12-02",25.61,11.2,450,"1992-11-18 2021-12-02",0.71,4.67,450,"1992-11-18 2021-12-02",73.53,12.18,450,"1992-11-18 2021-12-02",2.39,3.9,450,"1992-11-18 2021-12-02",4.24,4.69,450,"1992-11-18 2021-12-02",6.08,8.84,448,"1992-11-18 2021-12-02",5.88,8.82,445,"1992-11-18 2021-12-02",0.2,1.3,446,"1992-11-18 2021-12-02",0.3,2.02,359,"1992-11-18 2016-12-02",,,,
2022-11-24,5.1,3.9,450,"1992-11-17 2021-12-01",94.08,6.92,450,"1992-11-17 2021-12-01",8.16,3.01,450,"1992-11-17 2021-12-01",25.67,11.21,450,"1992-11-17 2021-12-01",0.82,4.7,450,"1992-11-17 2021-12-01",73.24,12.26,450,"1992-11-17 2021-12-01",2.5,3.91,450,"1992-11-17 2021-12-01",4.24,4.79,450,"1992-11-17 2021-12-01",6.08,8.82,449,"1992-11-17 2021-12-01",5.89,8.85,447,"1992-11-17 2021-12-01",0.19,1.27,448,"1992-11-17 2021-12-01",0.3,1.98,360,"1992-11-17 2016-12-01",,,,
2022-11-23,5.22,3.9,450,"1992-11-16 2021-11-30",94.04,6.95,450,"1992-11-16 2021-11-30",8.3,2.99,450,"1992-11-16 2021-11-30",25.62,10.99,450,"1992-11-16 2021-11-30",0.94,4.7,450,"1992-11-16 2021-11-30",73.17,12.25,450,"1992-11-16 2021-11-30",2.62,3.91,450,"1992-11-16 2021-11-30",4.19,4.69,450,"1992-11-16 2021-11-30",6.18,8.97,450,"1992-11-16 2021-11-30",5.99,8.99,449,"1992-11-16 2021-11-30",0.18,1.25,450,"1992-11-16 2021-11-30",0.3,1.88,360,"1992-11-16 2016-11-30",,,,
2022-11-22,5.37,3.9,450,"1992-11-15 2021-11-29",93.97,7,450,"1992-11-15 2021-11-29",8.48,3.03,450,"1992-11-15 2021-11-29",25.9,11.29,450,"1992-11-15 2021-11-29",1.05,4.68,450,"1992-11-15 2021-11-29",72.9,12.09,450,"1992-11-15 2021-11-29",2.76,3.89,450,"1992-11-15 2021-11-29",4.21,4.81,450,"1992-11-15 2021-11-29",6.31,9.19,450,"1992-11-15 2021-11-29",6.12,9.21,449,"1992-11-15 2021-11-29",0.18,1.25,450,"1992-11-15 2021-11-29",0.2,1.45,360,"1992-11-15 2016-11-29",,,,
2022-11-21,5.49,3.89,450,"1992-11-14 2021-11-28",93.85,7.04,450,"1992-11-14 2021-11-28",8.65,2.98,450,"1992-11-14 2021-11-28",25.87,11.34,450,"1992-11-14 2021-11-28",1.19,4.61,450,"1992-11-14 2021-11-28",72.85,12.11,450,"1992-11-14 2021-11-28",2.89,3.83,450,"1992-11-14 2021-11-28",4.12,4.85,450,"1992-11-14 2021-11-28",6.26,9.41,450,"1992-11-14 2021-11-28",6.11,9.42,449,"1992-11-14 2021-11-28",0.14,1.16,450,"1992-11-14 2021-11-28",0.2,1.25,360,"1992-11-14 2016-11-28",,,,
2022-11-20,5.63,3.78,450,"1992-11-13 2021-11-27",93.8,7.04,450,"1992-11-13 2021-11-27",8.79,2.91,450,"1992-11-13 2021-11-27",26.19,11.64,450,"1992-11-13 2021-11-27",1.36,4.55,450,"1992-11-13 2021-11-27",72.82,11.81,450,"1992-11-13 2021-11-27",3.06,3.8,450,"1992-11-13 2021-11-27",4.08,4.8,450,"1992-11-13 2021-11-27",6.12,8.95,450,"1992-11-13 2021-11-27",5.96,8.96,449,"1992-11-13 2021-11-27",0.14,1.16,450,"1992-11-13 2021-11-27",0.1,0.88,360,"1992-11-13 2016-11-27",,,,
2022-11-19,5.76,3.77,450,"1992-11-12 2021-11-26",93.83,6.74,450,"1992-11-12 2021-11-26",8.9,2.9,450,"1992-11-12 2021-11-26",26.11,11.73,450,"1992-11-12 2021-11-26",1.49,4.55,450,"1992-11-12 2021-11-26",72.89,11.83,450,"1992-11-12 2021-11-26",3.19,3.83,450,"1992-11-12 2021-11-26",4.03,4.77,450,"1992-11-12 2021-11-26",6.19,8.86,450,"1992-11-12 2021-11-26",6.05,8.86,450,"1992-11-12 2021-11-26",0.13,1.12,450,"1992-11-12 2021-11-26",0.1,0.39,360,"1992-11-12 2016-11-26",,,,
2022-11-18,5.84,3.78,450,"1992-11-11 2021-11-25",93.78,6.83,450,"1992-11-11 2021-11-25",9.01,2.9,450,"1992-11-11 2021-11-25",26.2,11.79,450,"1992-11-11 2021-11-25",1.6,4.57,450,"1992-11-11 2021-11-25",72.8,11.85,450,"1992-11-11 2021-11-25",3.31,3.81,450,"1992-11-11 2021-11-25",4.13,4.78,450,"1992-11-11 2021-11-25",6,8.59,450,"1992-11-11 2021-11-25",5.91,8.61,450,"1992-11-11 2021-11-25",0.08,0.71,450,"1992-11-11 2021-11-25",0.1,0.37,360,"1992-11-11 2016-11-25",,,,
2022-11-17,5.96,3.79,450,"1992-11-10 2021-11-24",93.79,6.88,450,"1992-11-10 2021-11-24",9.13,2.9,450,"1992-11-10 2021-11-24",25.98,11.79,450,"1992-11-10 2021-11-24",1.7,4.53,450,"1992-11-10 2021-11-24",72.87,11.98,450,"1992-11-10 2021-11-24",3.38,3.74,450,"1992-11-10 2021-11-24",4.09,4.74,450,"1992-11-10 2021-11-24",5.86,8.49,450,"1992-11-10 2021-11-24",5.81,8.51,449,"1992-11-10 2021-11-24",0.05,0.52,449,"1992-11-10 2021-11-24",0,0.37,360,"1992-11-10 2016-11-24",,,,
2022-11-16,6.08,3.71,450,"1992-11-09 2021-11-23",93.79,6.82,450,"1992-11-09 2021-11-23",9.28,2.85,450,"1992-11-09 2021-11-23",25.87,11.59,450,"1992-11-09 2021-11-23",1.86,4.48,450,"1992-11-09 2021-11-23",72.92,12.08,450,"1992-11-09 2021-11-23",3.56,3.7,450,"1992-11-09 2021-11-23",4.11,4.76,450,"1992-11-09 2021-11-23",5.81,8.4,450,"1992-11-09 2021-11-23",5.76,8.43,449,"1992-11-09 2021-11-23",0.05,0.52,449,"1992-11-09 2021-11-23",0,0.36,360,"1992-11-09 2016-11-23",,,,
2022-11-15,6.26,3.55,450,"1992-11-08 2021-11-22",93.82,6.68,450,"1992-11-08 2021-11-22",9.48,2.78,450,"1992-11-08 2021-11-22",25.83,11.54,450,"1992-11-08 2021-11-22",2.04,4.25,450,"1992-11-08 2021-11-22",72.81,12.01,450,"1992-11-08 2021-11-22",3.74,3.59,450,"1992-11-08 2021-11-22",4.09,4.82,450,"1992-11-08 2021-11-22",5.65,8.36,450,"1992-11-08 2021-11-22",5.6,8.39,449,"1992-11-08 2021-11-22",0.05,0.51,449,"1992-11-08 2021-11-22",0,0.36,360,"1992-11-08 2016-11-22",,,,
2022-11-14,6.47,3.32,450,"1992-11-07 2021-11-21",94.04,6.02,450,"1992-11-07 2021-11-21",9.68,2.66,450,"1992-11-07 2021-11-21",25.84,11.63,450,"1992-11-07 2021-11-21",2.27,4,450,"1992-11-07 2021-11-21",72.95,11.74,450,"1992-11-07 2021-11-21",3.92,3.52,450,"1992-11-07 2021-11-21",4.04,4.73,450,"1992-11-07 2021-11-21",5.7,8.53,450,"1992-11-07 2021-11-21",5.67,8.56,448,"1992-11-07 2021-11-21",0.05,0.52,448,"1992-11-07 2021-11-21",0,0.35,361,"1992-11-07 2016-11-21",,,,
2022-11-13,6.64,3.24,450,"1992-11-06 2021-11-20",94.13,5.83,450,"1992-11-06 2021-11-20",9.85,2.63,450,"1992-11-06 2021-11-20",26.02,11.51,450,"1992-11-06 2021-11-20",2.51,3.91,450,"1992-11-06 2021-11-20",72.94,11.85,450,"1992-11-06 2021-11-20",4.09,3.5,450,"1992-11-06 2021-11-20",4.12,4.74,450,"1992-11-06 2021-11-20",5.87,8.78,450,"1992-11-06 2021-11-20",5.84,8.81,448,"1992-11-06 2021-11-20",0.05,0.52,448,"1992-11-06 2021-11-20",0,0.31,361,"1992-11-06 2016-11-20",,,,
2022-11-12,6.75,3.18,450,"1992-11-05 2021-11-19",94.13,5.73,450,"1992-11-05 2021-11-19",9.98,2.54,450,"1992-11-05 2021-11-19",25.93,11.44,450,"1992-11-05 2021-11-19",2.62,3.87,450,"1992-11-05 2021-11-19",72.77,12.09,450,"1992-11-05 2021-11-19",4.21,3.42,450,"1992-11-05 2021-11-19",4.02,4.7,450,"1992-11-05 2021-11-19",5.84,8.77,450,"1992-11-05 2021-11-19",5.84,8.79,448,"1992-11-05 2021-11-19",0.02,0.34,448,"1992-11-05 2021-11-19",0,0.05,361,"1992-11-05 2016-11-19",,,,
2022-11-11,6.84,3.22,450,"1992-11-04 2021-11-18",94.13,5.76,450,"1992-11-04 2021-11-18",10.11,2.54,450,"1992-11-04 2021-11-18",25.73,11.41,450,"1992-11-04 2021-11-18",2.74,3.87,450,"1992-11-04 2021-11-18",72.75,12.07,450,"1992-11-04 2021-11-18",4.31,3.46,450,"1992-11-04 2021-11-18",4,4.67,450,"1992-11-04 2021-11-18",5.66,8.55,450,"1992-11-04 2021-11-18",5.66,8.57,448,"1992-11-04 2021-11-18",0.02,0.34,448,"1992-11-04 2021-11-18",0,0.05,361,"1992-11-04 2016-11-18",,,,
2022-11-10,6.97,3.24,450,"1992-11-03 2021-11-17",94.09,5.75,450,"1992-11-03 2021-11-17",10.26,2.48,450,"1992-11-03 2021-11-17",25.64,11.34,450,"1992-11-03 2021-11-17",2.83,3.93,450,"1992-11-03 2021-11-17",72.73,12.31,450,"1992-11-03 2021-11-17",4.4,3.49,450,"1992-11-03 2021-11-17",3.96,4.67,450,"1992-11-03 2021-11-17",5.79,8.77,450,"1992-11-03 2021-11-17",5.79,8.78,448,"1992-11-03 2021-11-17",0.01,0.3,448,"1992-11-03 2021-11-17",0,0.05,361,"1992-11-03 2016-11-17",,,,
2022-11-09,7.04,3.21,450,"1992-11-02 2021-11-16",94.02,5.74,450,"1992-11-02 2021-11-16",10.34,2.44,450,"1992-11-02 2021-11-16",25.38,11.14,450,"1992-11-02 2021-11-16",2.89,3.94,450,"1992-11-02 2021-11-16",72.69,12.32,450,"1992-11-02 2021-11-16",4.48,3.5,450,"1992-11-02 2021-11-16",3.94,4.6,450,"1992-11-02 2021-11-16",5.9,9.01,450,"1992-11-02 2021-11-16",5.92,9.02,448,"1992-11-02 2021-11-16",0,0,448,"1992-11-02 2021-11-16",0,0.17,362,"1992-11-02 2016-11-16",,,,
2022-11-08,7.08,3.23,450,"1992-11-01 2021-11-15",93.96,5.82,450,"1992-11-01 2021-11-15",10.44,2.43,450,"1992-11-01 2021-11-15",24.96,11.04,450,"1992-11-01 2021-11-15",2.94,4,450,"1992-11-01 2021-11-15",72.51,12.49,450,"1992-11-01 2021-11-15",4.5,3.52,450,"1992-11-01 2021-11-15",3.88,4.6,450,"1992-11-01 2021-11-15",5.82,9.04,450,"1992-11-01 2021-11-15",5.84,9.06,448,"1992-11-01 2021-11-15",0,0,448,"1992-11-01 2021-11-15",0,0.17,362,"1992-11-01 2016-11-15",,,,
2022-11-07,7.08,3.24,450,"1992-10-31 2021-11-14",93.9,5.82,450,"1992-10-31 2021-11-14",10.49,2.41,450,"1992-10-31 2021-11-14",24.68,10.65,450,"1992-10-31 2021-11-14",2.94,4.07,450,"1992-10-31 2021-11-14",72.11,12.86,450,"1992-10-31 2021-11-14",4.51,3.56,450,"1992-10-31 2021-11-14",3.69,4.29,450,"1992-10-31 2021-11-14",5.71,8.83,450,"1992-10-31 2021-11-14",5.73,8.85,448,"1992-10-31 2021-11-14",0,0,448,"1992-10-31 2021-11-14",0,0.17,362,"1992-10-31 2016-11-14",,,,
2022-11-06,7.09,3.33,450,"1992-10-30 2021-11-13",93.75,6.28,450,"1992-10-30 2021-11-13",10.59,2.39,450,"1992-10-30 2021-11-13",24.68,10.5,450,"1992-10-30 2021-11-13",2.92,4.18,450,"1992-10-30 2021-11-13",71.66,13.1,450,"1992-10-30 2021-11-13",4.54,3.59,450,"1992-10-30 2021-11-13",3.63,4.18,450,"1992-10-30 2021-11-13",5.66,8.64,450,"1992-10-30 2021-11-13",5.68,8.66,448,"1992-10-30 2021-11-13",0,0,448,"1992-10-30 2021-11-13",0,0.17,362,"1992-10-30 2016-11-13",,,,
2022-11-05,7.15,3.34,450,"1992-10-29 2021-11-12",93.69,6.31,450,"1992-10-29 2021-11-12",10.74,2.41,450,"1992-10-29 2021-11-12",24.41,10.14,450,"1992-10-29 2021-11-12",2.87,4.32,450,"1992-10-29 2021-11-12",70.99,13.67,450,"1992-10-29 2021-11-12",4.58,3.56,450,"1992-10-29 2021-11-12",3.62,4.17,450,"1992-10-29 2021-11-12",5.57,8.66,450,"1992-10-29 2021-11-12",5.59,8.67,448,"1992-10-29 2021-11-12",0,0,448,"1992-10-29 2021-11-12",0,0.17,362,"1992-10-29 2016-11-12",,,,
2022-11-04,7.27,3.27,450,"1992-10-28 2021-11-11",93.72,6.13,450,"1992-10-28 2021-11-11",10.88,2.37,450,"1992-10-28 2021-11-11",24.36,10.34,450,"1992-10-28 2021-11-11",2.98,4.25,450,"1992-10-28 2021-11-11",70.78,13.53,450,"1992-10-28 2021-11-11",4.7,3.54,450,"1992-10-28 2021-11-11",3.54,4.14,450,"1992-10-28 2021-11-11",5.48,8.7,450,"1992-10-28 2021-11-11",5.5,8.72,448,"1992-10-28 2021-11-11",0,0,448,"1992-10-28 2021-11-11",0,0.17,362,"1992-10-28 2016-11-11",,,,
2022-11-03,7.38,3.21,450,"1992-10-27 2021-11-10",93.71,6.09,450,"1992-10-27 2021-11-10",11.03,2.32,450,"1992-10-27 2021-11-10",24.17,10.25,450,"1992-10-27 2021-11-10",3.09,4.2,450,"1992-10-27 2021-11-10",70.67,13.51,450,"1992-10-27 2021-11-10",4.8,3.53,450,"1992-10-27 2021-11-10",3.4,4.08,450,"1992-10-27 2021-11-10",5.32,8.66,450,"1992-10-27 2021-11-10",5.33,8.68,448,"1992-10-27 2021-11-10",0,0,448,"1992-10-27 2021-11-10",0,0.17,362,"1992-10-27 2016-11-10",,,,
2022-11-02,7.5,3.19,450,"1992-10-26 2021-11-09",93.71,6.06,450,"1992-10-26 2021-11-09",11.16,2.3,450,"1992-10-26 2021-11-09",24.28,10.27,450,"1992-10-26 2021-11-09",3.25,4.2,450,"1992-10-26 2021-11-09",70.76,13.4,450,"1992-10-26 2021-11-09",4.96,3.52,450,"1992-10-26 2021-11-09",3.34,4.05,450,"1992-10-26 2021-11-09",5.29,8.61,450,"1992-10-26 2021-11-09",5.31,8.61,449,"1992-10-26 2021-11-09",0,0,449,"1992-10-26 2021-11-09",0,0.17,362,"1992-10-26 2016-11-09",,,,
2022-11-01,7.61,3.21,450,"1992-10-25 2021-11-08",93.72,6.02,450,"1992-10-25 2021-11-08",11.27,2.29,450,"1992-10-25 2021-11-08",24.53,10.49,450,"1992-10-25 2021-11-08",3.36,4.2,450,"1992-10-25 2021-11-08",70.66,13.27,450,"1992-10-25 2021-11-08",5.07,3.51,450,"1992-10-25 2021-11-08",3.3,4.14,450,"1992-10-25 2021-11-08",5.34,8.73,450,"1992-10-25 2021-11-08",5.36,8.74,448,"1992-10-25 2021-11-08",0,0,448,"1992-10-25 2021-11-08",0,0.17,362,"1992-10-25 2016-11-08",,,,
2022-10-31,7.69,3.17,450,"1992-10-24 2021-11-07",93.75,5.99,450,"1992-10-24 2021-11-07",11.38,2.26,450,"1992-10-24 2021-11-07",24.31,10.49,450,"1992-10-24 2021-11-07",3.44,4.17,450,"1992-10-24 2021-11-07",70.64,13.24,450,"1992-10-24 2021-11-07",5.12,3.49,450,"1992-10-24 2021-11-07",3.22,4.05,450,"1992-10-24 2021-11-07",5.26,8.7,450,"1992-10-24 2021-11-07",5.28,8.72,448,"1992-10-24 2021-11-07",0,0,448,"1992-10-24 2021-11-07",0,0.17,362,"1992-10-24 2016-11-07",,,,
2022-10-30,7.81,3.13,450,"1992-10-23 2021-11-06",93.8,5.96,450,"1992-10-23 2021-11-06",11.5,2.28,450,"1992-10-23 2021-11-06",24.33,10.53,450,"1992-10-23 2021-11-06",3.55,4.08,450,"1992-10-23 2021-11-06",70.72,13.13,450,"1992-10-23 2021-11-06",5.22,3.45,450,"1992-10-23 2021-11-06",3.17,4.04,450,"1992-10-23 2021-11-06",5.16,8.68,450,"1992-10-23 2021-11-06",5.17,8.69,449,"1992-10-23 2021-11-06",0,0,449,"1992-10-23 2021-11-06",0,0.16,361,"1992-10-23 2016-11-06",,,,
2022-10-29,7.96,3.06,450,"1992-10-22 2021-11-05",93.85,5.89,450,"1992-10-22 2021-11-05",11.67,2.27,450,"1992-10-22 2021-11-05",24.17,10.57,450,"1992-10-22 2021-11-05",3.71,4.02,450,"1992-10-22 2021-11-05",70.86,13.02,450,"1992-10-22 2021-11-05",5.38,3.4,450,"1992-10-22 2021-11-05",3.05,3.99,450,"1992-10-22 2021-11-05",4.95,8.43,450,"1992-10-22 2021-11-05",4.96,8.43,449,"1992-10-22 2021-11-05",0,0,449,"1992-10-22 2021-11-05",0,0.16,361,"1992-10-22 2016-11-05",,,,
