Departure station,Latitude,Longitude 
0197 1st & Scotia,49.27014999,-123.1001337
0218 Carrall & Seawall,49.27643397,-123.1065555
0024 Hornby & Pender,49.28611096,-123.1166562
0138 Richards & Helmcken,49.27734846,-123.1226682
0273 Victoria & 4th,49.266844,-123.0660108
0239 Grant & Commercial,49.27151699,-123.069416
0070 10th & Granville,49.26335314,-123.1387992
0231 Napier & Commercial,49.27503498,-123.0692801
0048 Comox & Broughton,49.28540594,-123.1343374
0170 8th & Yukon,49.26410901,-123.1126854
0532 22nd & Cambie,49.25140051,-123.1161871
0172 10th & Columbia,49.2620246,-123.1091014
0053 Keefer & Abbott,49.28005195,-123.108063
0219 Hawks & Union,49.27740108,-123.0867671
0021 Cordova & Granville,49.28620994,-123.1131545
0285 Commercial & Pandora,49.28257256,-123.070683
0165 Columbia & 5th,49.27998896,-123.1080201
0006 Olympic Village Station,49.266836,-123.115752
0174 1st & Manitoba,49.27036269,-123.1062588
0096 Nicola & Robson,49.28825011,-123.1320377
0099 Vancouver Art Gallery - North Plaza,49.28822212,-123.1320806
0114 Cypress & 14th,49.25932992,-123.1482573
0444 Balaclava & Broadway,,
0222 Adanac & McLean,49.27783297,-123.0736959
0108 1st & Chestnut,49.27085399,-123.146218
0031 Morton & Denman,49.28815594,-123.1421779
0079 Nelson & Richards,49.27799797,-123.1209419
0044 Pacific & Richards,49.27378898,-123.1270535
0621 Lakewood & Oxford,,
0124 Richards & Cordova,49.28472194,-123.111031
0177 Quebec & 1st,,
0196 Hornby & Drake,,
0186 10th & Kingsway,49.26211301,-123.0972394
0089 Burrard & Drake,49.27829816,-123.1305357
0001 10th & Cambie,49.26264802,-123.1143326
0073 Ontario & 5th,49.26691301,-123.1048133
0058 Richards & Smithe,49.27927075,-123.1187445
0144 Wylie & 2nd,,
0244 10th & Commercial,49.261494,-123.0700698
0171 Yukon & 6th,,
0052 Cambie & Water,49.24552918,-123.1153572
0041 Cardero & Robson,49.28972093,-123.1321947
0016 Pender & Burrard,49.28723694,-123.1184867
0180 Columbia & 14th,49.25940472,-123.1602626
0223 Commercial & Adanac,49.28302875,-123.0706503
0066 Anderson & 2nd,49.26952899,-123.1377878
0026 Beatty & Robson,49.27764387,-123.1142361
0112 10th & Oak,49.26236701,-123.1262064
0207 Alberni & Jervis,49.28781893,-123.1272128
0092 Chilco & Barclay,49.29210031,-123.1406203
0310 Jervis & Robson,49.28689895,-123.1283546
0081 7th & Heather,49.26526401,-123.1193821
0060 Bidwell & Burnaby,49.28540694,-123.1418411
0139 Burrard & 4th,49.267999,-123.145782
0032 Comox & Denman,49.28861193,-123.1392459
0093 Chilco & Robson,49.29342481,-123.1385952
0054 Expo & Carrall,49.27813527,-123.1056215
0037 Hornby & Nelson,49.28075996,-123.1248522
0300 Bute & Barclay,49.28939563,-123.1221311
0209 Stanley Park - Information Booth,49.2980026,-123.1307705
0007 12th & Yukon (City Hall),49.26072438,-123.1134925
0012 Dunsmuir & Richards,49.28236095,-123.1141117
0025 Homer & Robson (Vancouver Public Library),49.27988596,-123.1162725
0047 Chilco & Beach,49.28989492,-123.1440387
0981 Workshop - Service Complete,,
0129 Richards & Robson,,
0314 Rolston & Granville,,
0137 Beach & Seymour,,
0110 5th & Arbutus,,
0179 11th & Kingsway,,
0631 Lakewood & Triumph,,
0088 Harwood & Bute,49.28048986,-123.1350446
0991 HQ Workshop,*,*
0055 Keefer & Columbia,49.27945388,-123.1012641
0153 Arbutus Greenway & Fir,49.26693499,-123.14062
0557 30th & Ontario,49.24345055,-123.1043732
0057 Marinaside & Cooperage,49.27397297,-123.1143302
0249 7th & Woodland,49.264398,-123.0738422
0103 Stanley Park - Third Beach Parking Lot,49.3027029,-123.1552727
0017 Marinaside & Davie,49.27356197,-123.1178122
0287 Carolina & Great Northern Way,49.26738499,-123.0900564
0452 8th & Macdonald,49.26627759,-123.1679669
0221 Glen & Union,49.27760196,-123.0805103
0126 Thurlow & Pendrell,49.28100228,-123.1300039
0524 King Edward & Cambie,49.24929873,-123.1155137
0414 Dunbar & 6th,49.26698309,-123.1832892
0189 Granville Island,49.27133577,-123.1339899
0071 14th & Granville,49.25911502,-123.138918
0105 Stanley Park - Totem Poles,49.29872686,-123.1206504
0400 Jericho Beach,49.2723215,-123.198728
0035 Hastings & Broughton,49.29008056,-123.1262673
0102 Stanley Park - Second Beach North,49.29542393,-123.1499502
0261 8th & Fraser,49.263522,-123.088129
0132 14th & Ontario,49.25862294,-123.1042518
0143 South False Creek Seawall,49.26773998,-123.1267539
0229 Keefer & Princess,49.27950188,-123.0905329
0009 Spyglass & Seawall,49.27098198,-123.1145344
0166 Alder & 11th,49.261868,-123.1312977
0236 Keith & 6th,49.265159,-123.0790518
0227 Campbell & Hastings,49.28092896,-123.08451
0274 Victoria & 10th,49.261307,-123.0655155
0065 Cypress & Cornwall,49.27291097,-123.1470036
0352 Commercial & 20th,49.25259603,-123.0673753
0083 Aquatic Centre,49.27833596,-123.1363712
0246 Glen & Broadway,49.26231899,-123.0805149
0074 10th & Main,49.262267,-123.101961
0191 7th & Laurel,49.26522639,-123.1239404
0252 Woodland & Graveley,49.27076798,-123.0733367
0034 Cordova & Bute,49.28937463,-123.1217878
0142 Beach & Cardero,49.28757061,-123.1354372
0228 Keefer & Hawks,49.27936549,-123.0869278
0087 Broughton & Davie,49.28372907,-123.1355903
0101 Stanley Park - Vancouver Aquarium,49.29936893,-123.1298625
0215 Princess & Union,49.27765826,-123.0909001
0266 St Catherines & 7th,49.264634,-123.0845178
0311 13th & Cambie,49.2595527,-123.1141117
0106 Heather & 14th,49.259295,-123.119375
0140 Burrard & 7th,49.26545549,-123.1449121
0205 Pine & 10th,49.262962,-123.1428436
0134 14th & Main,49.25853,-123.1001054
0440 Point Grey & Blenheim,49.2715654,-123.1769304
0202 14th & Oak,49.25886501,-123.1261129
0265 St Catherines & 10th,49.26140899,-123.084936
0235 Charles & Commercial,49.27311287,-123.0692676
0176 10th & Ontario,49.262202,-123.1042161
0255 18th & Main,49.25478602,-123.1009706
0078 Nelson & Mainland,49.27656886,-123.1180834
0072 14th & Cambie,49.25888201,-123.1150701
0203 Pine & 14th,49.258948,-123.1429399
0152 Arbutus Greenway & 14th,49.25909202,-123.1522049
0192 7th &  Alder,49.26236864,-123.1311079
0305 Georgia & Homer,49.28074298,-123.1146244
0232 Britannia Parking Lot,49.27602896,-123.0711891
0204 York & Yew,49.27181278,-123.1545653
0211 14th & Alder,49.25895901,-123.1306303
0119 3rd & Quebec,49.26839598,-123.1017773
0113 Arbutus & 16th,49.25776601,-123.1522679
0230 Alexander & Railway,49.28416194,-123.0952617
0250 Woodland & 4th,49.26689099,-123.072986
0282 14th & Fraser,49.25800999,-123.0885395
0642 Franklin & Nanaimo,49.28220535,-123.0559372
0198 5th & Main,49.26654159,-123.1001566
0460 Trafalgar & Cornwall,49.27275827,-123.1636343
0505 28th & Willow,49.24633763,-123.1218999
0480 Arbutus & Nanton,49.24765721,-123.1494282
0516 Heather & 29th,49.24628832,-123.120126
0258 13th & St George,49.25900603,-123.0921211
0484 Yew & Broadway,49.2640348,-123.1545496
0100 Stanley Park - Prospect Point,49.31360367,-123.1417119
0245 Woodland & 10th,49.28240307,-123.072793
0254 Grandview & Commercial,49.27407117,-123.0695768
0278 15th & Victoria (Trout Lake),49.25699692,-123.0653456
0308 Seymour & Cordova,49.28543227,-123.1114872
0257 Prince Edward & 14th,49.25849201,-123.0959508
0262 8th & Prince Edward,49.263672,-123.0950899
0206 8th & Scotia,49.26386101,-123.098028
0130 Heather & 16th,49.2570015,-123.1197994
0554 Ontario & 23rd,49.25007424,-123.1044317
0133 Ontario & 16th,49.25693701,-123.1049551
0241 4th & Commercial,49.26710899,-123.0687986
0109 7th & Arbutus,49.265752,-123.1521476
0297 6th & Prince Edward,49.26528398,-123.0950298
0281 Windsor & 14th,49.25810631,-123.0829445
0482 East Blvd & 37th,49.23841649,-123.1541805
0159 Vine & 4th,49.26848599,-123.1569066
0298 6th & Carolina,49.26531799,-123.0903987
0283 15th & Knight,49.25658,-123.0751685
0248 St George & Broadway,49.26238399,-123.0925879
0256 Prince Edward & 16th,49.25684683,-123.0962211
0611 Wall & Eton,49.28779594,-123.0522129
0272 Pender & Victoria,49.28030888,-123.0650652
0526 29th & Cambie,49.24527593,-123.1150245
0260 10th & Fraser,49.26166401,-123.0887264
0068 Cypress & 10th,49.39626927,-123.2037189
0415 Dunbar & Broadway,49.2644768,-123.1831628
0115 Cypress & 16th,49.25757412,-123.1478649
0147 Chestnut & McNicoll,49.27602187,-123.1454669
0104 Stanley Park - Second Beach South,49.29445781,-123.1484433
0985 Quebec Yard - To Service,49.24896393,-123.1024172
0511 18th & Heather,49.25496157,-123.1199008
0237 Glen & 6th,49.26513589,-123.080755
0980 Workshop - Balancer Bike Check In,*,*
0464 Trafalgar & Broadway,49.26414839,-123.1643065
0155 Arbutus & McNicoll,49.27620697,-123.1507785
0240 2nd & Commercial,49.26872798,-123.0691676
0410 Alma & Point Grey,49.27232687,-123.1848518
0280 Triumph & Victoria,49.28412594,-123.0644486
0154 Kitsilano Beach Park,49.27350897,-123.1540853
0470 Balsam & Cornwall,49.27271637,-123.159273
0431 Blenheim & 4th,49.26871789,-123.1770302
0450 Point Grey & Bayswater,49.27128338,-123.1702572
0994 Workshop - Transmitter Testing,*,*
0077 Vanier Park,49.27586396,-123.1420706
0401 Wallace & 4th,49.26866878,-123.1899067
0224 Pender & Commercial,49.28041596,-123.0696818
0443 Balaclava & 6th,49.26685099,-123.1730198
0210 Burrard & 14th,49.2591449,-123.1454331
0233 Thornton & National,49.27381197,-123.0921115
0982 Workshop - Bike Testing,*,*
0997 Workshop - Demo Station,*,*
0098 Carrall & Hastings,49.28133795,-123.1039898
